capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,sexo,ano
macapa___ap,"07:5,01_a_7,00",0,8,1,73,180,14,4.086,61,497,F,2020
macapa___ap,"08:7,01_a_10,00",0,11,4,38,79,8,2.303,45,541,F,2020
macapa___ap,"09:10,01_a_15,00",0,0,0,1,9,3,1.198,28,565,F,2020
macapa___ap,"10:15,01_a_20,00",0,0,0,1,1,2,141,11,216,F,2020
macapa___ap,"11:mais_de_20,00",0,0,0,0,8,1,224,5,171,F,2020
palmas___to,"00:ate_0,50",0,0,0,2,1,6,17,2,6,F,2020
palmas___to,"01:0,51_a_1,00",7,3,12,52,178,149,611,68,78,F,2020
palmas___to,"02:1,01_a_1,50",10,97,82,3.105,2.650,541,5.079,138,284,F,2020
palmas___to,"03:1,51_a_2,00",1,21,27,122,654,95,3.250,124,304,F,2020
palmas___to,"04:2,01_a_3,00",0,4,23,52,599,35,5.588,147,1.187,F,2020
palmas___to,"05:3,01_a_4,00",0,2,2,7,170,16,2.170,66,2.164,F,2020
palmas___to,"06:4,01_a_5,00",0,4,1,14,144,9,1.733,48,1.274,F,2020
palmas___to,"07:5,01_a_7,00",0,5,5,6,108,1,2.794,44,4.632,F,2020
palmas___to,"08:7,01_a_10,00",0,0,0,1,45,0,443,32,1.662,F,2020
palmas___to,"09:10,01_a_15,00",0,0,0,1,23,1,160,18,886,F,2020
palmas___to,"10:15,01_a_20,00",0,0,0,0,0,0,9,3,336,F,2020
palmas___to,"11:mais_de_20,00",0,0,0,0,0,0,24,1,288,F,2020
sao_luiz___ma,"00:ate_0,50",0,1,3,6,13,29,46,8,23,F,2020
sao_luiz___ma,"01:0,51_a_1,00",10,14,22,62,153,219,1.643,119,212,F,2020
sao_luiz___ma,"02:1,01_a_1,50",33,268,511,662,4.626,1.313,24.389,843,2.955,F,2020
sao_luiz___ma,"03:1,51_a_2,00",4,51,66,99,744,175,7.500,518,1.737,F,2020
sao_luiz___ma,"04:2,01_a_3,00",0,44,81,58,570,111,12.511,540,2.990,F,2020
sao_luiz___ma,"05:3,01_a_4,00",0,10,25,12,164,27,3.109,398,3.547,F,2020
sao_luiz___ma,"06:4,01_a_5,00",0,7,50,30,171,22,2.895,315,4.148,F,2020
sao_luiz___ma,"07:5,01_a_7,00",0,2,27,20,126,19,3.497,232,2.523,F,2020
sao_luiz___ma,"08:7,01_a_10,00",0,0,32,2,38,17,687,148,1.772,F,2020
sao_luiz___ma,"09:10,01_a_15,00",0,1,26,8,38,3,348,83,1.358,F,2020
sao_luiz___ma,"10:15,01_a_20,00",0,0,20,2,27,1,255,50,529,F,2020
sao_luiz___ma,"11:mais_de_20,00",0,0,6,0,12,1,71,18,812,F,2020
terezina___pi,"00:ate_0,50",3,10,15,28,46,88,88,11,61,F,2020
terezina___pi,"01:0,51_a_1,00",43,163,78,208,349,414,1.876,230,344,F,2020
terezina___pi,"02:1,01_a_1,50",352,3.544,1.017,1.340,3.134,2.346,15.298,3.033,2.032,F,2020
terezina___pi,"03:1,51_a_2,00",6,96,294,58,250,209,4.264,1.536,2.483,F,2020
terezina___pi,"04:2,01_a_3,00",4,76,142,23,288,130,4.805,3.105,4.594,F,2020
terezina___pi,"05:3,01_a_4,00",2,59,43,14,165,38,2.386,9.276,7.191,F,2020
terezina___pi,"06:4,01_a_5,00",1,38,12,8,78,9,1.174,264,2.019,F,2020
terezina___pi,"07:5,01_a_7,00",0,85,4,10,119,34,994,110,1.882,F,2020
terezina___pi,"08:7,01_a_10,00",0,14,0,5,45,11,540,65,1.314,F,2020
terezina___pi,"09:10,01_a_15,00",0,12,0,0,4,4,246,56,1.070,F,2020
terezina___pi,"10:15,01_a_20,00",0,3,1,1,1,0,85,13,549,F,2020
terezina___pi,"11:mais_de_20,00",0,1,0,0,1,1,36,8,582,F,2020
fortaleza___ce,"00:ate_0,50",6,11,69,38,115,166,387,58,137,F,2020
fortaleza___ce,"01:0,51_a_1,00",33,227,263,808,2.161,1.895,6.107,607,971,F,2020
fortaleza___ce,"02:1,01_a_1,50",249,3.289,4.123,8.012,18.668,10.325,50.720,3.572,4.257,F,2020
fortaleza___ce,"03:1,51_a_2,00",16,460,292,1.697,2.135,1.884,13.247,1.900,3.551,F,2020
fortaleza___ce,"04:2,01_a_3,00",1,140,134,302,913,1.110,8.799,2.343,9.635,F,2020
fortaleza___ce,"05:3,01_a_4,00",0,76,38,91,410,388,4.126,1.365,8.107,F,2020
fortaleza___ce,"06:4,01_a_5,00",0,71,15,81,217,149,2.244,791,4.963,F,2020
fortaleza___ce,"07:5,01_a_7,00",1,117,6,127,405,212,3.742,1.212,8.974,F,2020
fortaleza___ce,"08:7,01_a_10,00",0,31,10,42,154,69,1.653,457,6.358,F,2020
fortaleza___ce,"09:10,01_a_15,00",0,11,1,2,89,26,411,258,3.444,F,2020
fortaleza___ce,"10:15,01_a_20,00",0,0,1,0,43,5,104,135,1.749,F,2020
fortaleza___ce,"11:mais_de_20,00",0,11,3,5,58,69,187,354,2.415,F,2020
natal___rn,"00:ate_0,50",1,5,9,11,18,159,148,16,50,F,2020
natal___rn,"01:0,51_a_1,00",18,81,235,414,496,1.031,2.650,218,412,F,2020
natal___rn,"02:1,01_a_1,50",87,654,2.534,7.165,3.794,4.101,25.667,1.029,1.563,F,2020
natal___rn,"03:1,51_a_2,00",7,81,717,1.271,446,500,6.739,524,1.774,F,2020
natal___rn,"04:2,01_a_3,00",1,48,430,1.266,175,255,9.993,484,5.355,F,2020
natal___rn,"05:3,01_a_4,00",0,22,155,415,60,101,4.590,276,5.516,F,2020
natal___rn,"06:4,01_a_5,00",0,18,104,436,57,49,1.725,147,3.785,F,2020
natal___rn,"07:5,01_a_7,00",1,11,47,98,104,69,957,147,2.707,F,2020
natal___rn,"08:7,01_a_10,00",1,12,23,26,38,29,681,110,2.126,F,2020
natal___rn,"09:10,01_a_15,00",0,3,16,9,10,40,251,108,1.958,F,2020
natal___rn,"10:15,01_a_20,00",0,0,3,1,2,18,84,52,860,F,2020
natal___rn,"11:mais_de_20,00",0,1,2,2,2,5,101,31,1.135,F,2020
joao_pessoa___pb,"00:ate_0,50",0,7,2,14,10,7,37,22,114,F,2020
joao_pessoa___pb,"01:0,51_a_1,00",16,83,64,129,7.759,266,1.555,94,412,F,2020
joao_pessoa___pb,"02:1,01_a_1,50",168,1.083,760,1.398,8.376,1.946,14.907,2.893,4.403,F,2020
joao_pessoa___pb,"03:1,51_a_2,00",84,475,171,212,2.475,316,3.857,1.308,3.724,F,2020
joao_pessoa___pb,"04:2,01_a_3,00",26,200,108,77,1.742,107,2.294,4.238,7.489,F,2020
joao_pessoa___pb,"05:3,01_a_4,00",0,68,21,28,858,33,850,1.903,2.922,F,2020
joao_pessoa___pb,"06:4,01_a_5,00",0,25,5,53,564,10,480,318,1.309,F,2020
joao_pessoa___pb,"07:5,01_a_7,00",0,29,2,93,999,9,703,198,1.433,F,2020
joao_pessoa___pb,"08:7,01_a_10,00",0,7,0,8,419,4,412,105,1.466,F,2020
joao_pessoa___pb,"09:10,01_a_15,00",0,3,0,1,291,4,80,35,1.022,F,2020
joao_pessoa___pb,"10:15,01_a_20,00",0,1,0,0,120,0,35,9,585,F,2020
joao_pessoa___pb,"11:mais_de_20,00",0,0,0,2,160,0,97,2,842,F,2020
recife___pe,"00:ate_0,50",3,20,22,56,60,83,368,47,225,F,2020
recife___pe,"01:0,51_a_1,00",13,89,138,440,3.978,1.080,3.566,284,798,F,2020
recife___pe,"02:1,01_a_1,50",158,943,1.554,3.760,18.138,5.726,42.151,3.018,3.498,F,2020
recife___pe,"03:1,51_a_2,00",47,240,344,579,8.168,1.211,13.821,1.897,3.254,F,2020
recife___pe,"04:2,01_a_3,00",49,88,138,252,10.872,665,10.267,2.170,6.673,F,2020
recife___pe,"05:3,01_a_4,00",3,21,38,55,9.043,293,3.166,1.239,5.520,F,2020
recife___pe,"06:4,01_a_5,00",0,11,9,47,4.518,120,1.864,769,4.950,F,2020
recife___pe,"07:5,01_a_7,00",0,8,11,50,1.846,194,2.202,775,7.214,F,2020
recife___pe,"08:7,01_a_10,00",0,5,4,80,388,93,1.732,500,6.194,F,2020
recife___pe,"09:10,01_a_15,00",0,2,1,9,245,48,371,265,4.017,F,2020
recife___pe,"10:15,01_a_20,00",0,0,8,2,23,14,109,120,2.138,F,2020
recife___pe,"11:mais_de_20,00",0,0,3,0,13,10,73,125,2.641,F,2020
maceio___al,"00:ate_0,50",0,3,1,13,14,26,36,10,46,F,2020
maceio___al,"01:0,51_a_1,00",64,101,143,296,628,377,1.124,108,302,F,2020
maceio___al,"02:1,01_a_1,50",131,1.561,1.384,2.021,3.592,4.158,12.768,1.950,1.188,F,2020
maceio___al,"03:1,51_a_2,00",19,402,286,323,760,1.431,4.099,1.035,2.050,F,2020
maceio___al,"04:2,01_a_3,00",5,299,198,247,602,947,2.307,2.544,3.059,F,2020
maceio___al,"05:3,01_a_4,00",1,125,71,117,297,757,949,1.608,1.959,F,2020
maceio___al,"06:4,01_a_5,00",0,19,19,56,157,274,611,830,3.335,F,2020
maceio___al,"07:5,01_a_7,00",0,19,16,182,111,161,457,528,3.177,F,2020
maceio___al,"08:7,01_a_10,00",0,3,4,78,43,72,393,141,2.142,F,2020
maceio___al,"09:10,01_a_15,00",0,2,1,11,12,79,121,70,1.511,F,2020
maceio___al,"10:15,01_a_20,00",0,0,0,1,5,12,44,28,496,F,2020
maceio___al,"11:mais_de_20,00",0,0,1,1,6,3,67,30,627,F,2020
aracaju___se,"00:ate_0,50",2,9,9,36,37,94,152,33,88,F,2020
aracaju___se,"01:0,51_a_1,00",28,157,142,658,739,621,1.940,242,595,F,2020
aracaju___se,"02:1,01_a_1,50",74,456,489,2.711,3.103,2.620,14.244,906,1.108,F,2020
aracaju___se,"03:1,51_a_2,00",8,44,62,1.244,1.394,522,4.293,448,1.025,F,2020
aracaju___se,"04:2,01_a_3,00",1,11,17,572,871,400,4.749,728,2.552,F,2020
aracaju___se,"05:3,01_a_4,00",2,20,16,119,158,147,2.244,704,3.629,F,2020
aracaju___se,"06:4,01_a_5,00",1,19,18,83,86,89,1.466,470,2.865,F,2020
aracaju___se,"07:5,01_a_7,00",0,12,1,64,75,90,1.319,425,3.877,F,2020
aracaju___se,"08:7,01_a_10,00",0,2,1,23,44,60,864,240,2.596,F,2020
aracaju___se,"09:10,01_a_15,00",0,0,3,3,9,31,400,88,1.745,F,2020
aracaju___se,"10:15,01_a_20,00",0,0,1,8,12,11,165,32,644,F,2020
aracaju___se,"11:mais_de_20,00",0,0,1,24,27,8,105,21,1.102,F,2020
salvador___ba,"00:ate_0,50",1,5,4,129,51,398,191,14,66,F,2020
salvador___ba,"01:0,51_a_1,00",25,134,192,552,865,1.622,6.055,471,606,F,2020
salvador___ba,"02:1,01_a_1,50",346,1.150,1.933,6.003,8.169,9.331,56.455,3.584,2.211,F,2020
salvador___ba,"03:1,51_a_2,00",22,478,587,1.614,1.932,1.626,24.062,2.592,3.385,F,2020
salvador___ba,"04:2,01_a_3,00",5,206,531,1.229,1.926,2.209,24.986,3.640,9.449,F,2020
salvador___ba,"05:3,01_a_4,00",1,57,101,190,435,735,14.222,2.182,9.023,F,2020
salvador___ba,"06:4,01_a_5,00",0,25,18,141,261,297,12.045,1.799,8.863,F,2020
salvador___ba,"07:5,01_a_7,00",1,25,31,177,340,641,8.783,1.351,16.602,F,2020
salvador___ba,"08:7,01_a_10,00",0,19,19,63,73,145,3.837,604,11.412,F,2020
salvador___ba,"09:10,01_a_15,00",0,8,10,35,35,55,1.575,359,7.100,F,2020
salvador___ba,"10:15,01_a_20,00",0,5,0,16,10,24,503,103,3.125,F,2020
salvador___ba,"11:mais_de_20,00",0,1,9,13,33,26,541,58,3.624,F,2020
belo_horizonte___mg,"00:ate_0,50",35,184,331,484,380,359,432,39,634,F,2020
belo_horizonte___mg,"01:0,51_a_1,00",164,734,1.873,3.328,3.370,2.401,4.961,357,1.462,F,2020
belo_horizonte___mg,"02:1,01_a_1,50",559,2.879,8.286,16.162,26.169,13.141,62.324,3.401,11.143,F,2020
belo_horizonte___mg,"03:1,51_a_2,00",79,710,1.858,3.009,6.346,3.165,26.739,2.931,19.638,F,2020
belo_horizonte___mg,"04:2,01_a_3,00",43,440,1.060,1.530,3.682,2.139,25.494,3.982,45.694,F,2020
belo_horizonte___mg,"05:3,01_a_4,00",3,70,227,375,1.356,732,11.420,2.238,29.292,F,2020
belo_horizonte___mg,"06:4,01_a_5,00",2,35,163,300,926,339,6.384,1.292,20.055,F,2020
belo_horizonte___mg,"07:5,01_a_7,00",0,23,355,185,588,290,6.469,1.362,23.752,F,2020
belo_horizonte___mg,"08:7,01_a_10,00",0,4,52,49,181,117,3.722,760,17.291,F,2020
belo_horizonte___mg,"09:10,01_a_15,00",0,3,6,7,63,38,1.960,471,12.016,F,2020
belo_horizonte___mg,"10:15,01_a_20,00",0,2,8,2,17,8,447,108,5.926,F,2020
belo_horizonte___mg,"11:mais_de_20,00",0,10,26,10,16,9,470,112,7.238,F,2020
vitoria___es,"00:ate_0,50",3,6,12,46,191,161,42,15,129,F,2020
vitoria___es,"01:0,51_a_1,00",11,61,72,421,495,543,902,238,342,F,2020
vitoria___es,"02:1,01_a_1,50",87,961,927,2.997,4.389,2.675,14.099,1.174,1.142,F,2020
vitoria___es,"03:1,51_a_2,00",43,395,646,410,933,828,6.981,971,1.353,F,2020
vitoria___es,"04:2,01_a_3,00",25,431,544,187,547,533,8.198,1.678,4.045,F,2020
vitoria___es,"05:3,01_a_4,00",0,212,50,33,115,131,2.287,628,4.928,F,2020
vitoria___es,"06:4,01_a_5,00",0,81,14,23,88,44,1.102,361,3.059,F,2020
vitoria___es,"07:5,01_a_7,00",0,143,4,23,56,36,1.184,372,5.164,F,2020
vitoria___es,"08:7,01_a_10,00",0,228,2,19,28,41,651,184,3.665,F,2020
vitoria___es,"09:10,01_a_15,00",0,63,12,10,18,16,368,131,3.172,F,2020
vitoria___es,"10:15,01_a_20,00",0,3,1,1,1,4,112,50,1.323,F,2020
vitoria___es,"11:mais_de_20,00",0,0,0,2,1,1,96,38,1.518,F,2020
rio_de_janeiro___rj,"00:ate_0,50",0,11,45,86,123,266,385,95,787,F,2020
rio_de_janeiro___rj,"01:0,51_a_1,00",22,241,590,1.305,1.998,3.472,5.410,513,2.501,F,2020
rio_de_janeiro___rj,"02:1,01_a_1,50",497,5.954,15.319,22.062,49.702,21.029,94.211,6.596,6.996,F,2020
rio_de_janeiro___rj,"03:1,51_a_2,00",1.341,6.661,6.489,12.731,16.260,11.801,58.362,7.213,9.408,F,2020
rio_de_janeiro___rj,"04:2,01_a_3,00",77,685,2.563,3.945,8.578,6.495,50.532,14.951,14.947,F,2020
rio_de_janeiro___rj,"05:3,01_a_4,00",18,193,696,1.047,4.138,5.156,26.864,12.692,17.428,F,2020
rio_de_janeiro___rj,"06:4,01_a_5,00",11,142,274,683,3.095,7.008,21.720,17.861,19.711,F,2020
rio_de_janeiro___rj,"07:5,01_a_7,00",14,100,185,444,1.381,3.929,16.727,12.478,31.013,F,2020
rio_de_janeiro___rj,"08:7,01_a_10,00",3,44,87,203,745,1.085,8.837,5.805,28.947,F,2020
rio_de_janeiro___rj,"09:10,01_a_15,00",1,35,23,57,228,492,3.823,2.176,23.580,F,2020
rio_de_janeiro___rj,"10:15,01_a_20,00",0,24,25,28,76,178,1.171,699,12.196,F,2020
rio_de_janeiro___rj,"11:mais_de_20,00",0,14,21,22,72,418,1.017,1.362,16.470,F,2020
sao_paulo___sp,"00:ate_0,50",1,26,57,83,4.668,880,2.629,550,2.921,F,2020
sao_paulo___sp,"01:0,51_a_1,00",109,587,1.234,1.998,10.852,8.449,27.471,3.203,13.920,F,2020
sao_paulo___sp,"02:1,01_a_1,50",879,6.539,10.883,18.525,31.681,18.386,94.434,8.810,15.340,F,2020
sao_paulo___sp,"03:1,51_a_2,00",822,5.332,17.781,25.162,56.887,34.582,175.676,15.363,20.095,F,2020
sao_paulo___sp,"04:2,01_a_3,00",476,3.812,12.079,15.024,51.531,21.481,160.017,23.519,44.702,F,2020
sao_paulo___sp,"05:3,01_a_4,00",78,936,3.968,3.244,13.804,7.176,72.754,16.286,60.097,F,2020
sao_paulo___sp,"06:4,01_a_5,00",19,319,944,1.304,5.681,3.220,45.707,11.755,71.926,F,2020
sao_paulo___sp,"07:5,01_a_7,00",8,232,562,1.086,3.723,2.763,44.814,12.864,112.104,F,2020
sao_paulo___sp,"08:7,01_a_10,00",4,112,199,361,1.441,1.310,30.327,8.493,75.139,F,2020
sao_paulo___sp,"09:10,01_a_15,00",0,96,61,128,389,560,15.518,4.708,55.487,F,2020
sao_paulo___sp,"10:15,01_a_20,00",0,81,27,22,112,160,5.061,1.543,25.750,F,2020
sao_paulo___sp,"11:mais_de_20,00",0,44,28,16,108,192,2.950,1.325,32.854,F,2020
curitiba___pr,"00:ate_0,50",0,28,142,89,127,57,172,21,165,F,2020
curitiba___pr,"01:0,51_a_1,00",25,221,911,1.246,1.874,1.781,2.453,176,803,F,2020
curitiba___pr,"02:1,01_a_1,50",242,1.430,3.710,7.036,17.100,10.204,38.544,1.965,4.359,F,2020
curitiba___pr,"03:1,51_a_2,00",98,1.250,2.874,4.354,8.412,4.814,25.455,2.041,11.108,F,2020
curitiba___pr,"04:2,01_a_3,00",48,436,878,1.437,3.590,2.512,28.720,3.231,22.512,F,2020
curitiba___pr,"05:3,01_a_4,00",4,96,185,282,977,744,11.763,1.913,23.237,F,2020
curitiba___pr,"06:4,01_a_5,00",3,43,69,129,476,370,6.952,1.123,14.359,F,2020
curitiba___pr,"07:5,01_a_7,00",3,33,59,142,352,252,6.405,1.240,14.328,F,2020
curitiba___pr,"08:7,01_a_10,00",1,9,22,37,144,132,2.614,721,11.489,F,2020
curitiba___pr,"09:10,01_a_15,00",0,7,7,20,62,58,956,399,7.189,F,2020
curitiba___pr,"10:15,01_a_20,00",0,0,1,2,21,10,356,118,3.543,F,2020
curitiba___pr,"11:mais_de_20,00",0,1,3,0,3,6,177,52,3.984,F,2020
florianopolis___sc,"00:ate_0,50",1,3,15,65,44,136,71,12,49,F,2020
florianopolis___sc,"01:0,51_a_1,00",12,67,143,314,597,363,1.046,146,964,F,2020
florianopolis___sc,"02:1,01_a_1,50",58,235,571,1.630,3.288,1.433,6.399,724,1.789,F,2020
florianopolis___sc,"03:1,51_a_2,00",21,107,409,853,2.054,1.411,9.233,1.170,3.669,F,2020
florianopolis___sc,"04:2,01_a_3,00",13,36,784,787,1.171,728,6.929,1.297,6.375,F,2020
florianopolis___sc,"05:3,01_a_4,00",4,40,147,225,480,163,2.993,620,6.580,F,2020
florianopolis___sc,"06:4,01_a_5,00",9,32,144,153,470,158,2.664,371,6.209,F,2020
florianopolis___sc,"07:5,01_a_7,00",2,25,205,180,435,185,2.933,503,9.560,F,2020
florianopolis___sc,"08:7,01_a_10,00",0,24,24,88,162,84,1.582,245,4.408,F,2020
florianopolis___sc,"09:10,01_a_15,00",0,5,15,19,45,30,567,142,3.295,F,2020
florianopolis___sc,"10:15,01_a_20,00",0,1,7,7,21,17,172,52,1.820,F,2020
florianopolis___sc,"11:mais_de_20,00",0,1,4,4,5,3,195,21,1.775,F,2020
porto_alegre___rs,"00:ate_0,50",12,39,62,178,385,312,287,63,49,F,2020
porto_alegre___rs,"01:0,51_a_1,00",81,297,372,1.127,2.162,1.540,2.088,290,398,F,2020
porto_alegre___rs,"02:1,01_a_1,50",183,1.060,1.744,5.265,11.120,6.032,23.632,2.306,2.688,F,2020
porto_alegre___rs,"03:1,51_a_2,00",89,510,1.543,4.369,7.539,3.970,25.683,3.695,13.130,F,2020
porto_alegre___rs,"04:2,01_a_3,00",73,369,1.248,3.052,4.365,2.620,24.593,6.922,26.519,F,2020
porto_alegre___rs,"05:3,01_a_4,00",19,156,265,711,1.252,921,10.700,4.432,12.700,F,2020
porto_alegre___rs,"06:4,01_a_5,00",3,71,109,300,716,557,6.572,2.756,8.170,F,2020
porto_alegre___rs,"07:5,01_a_7,00",7,76,108,271,618,543,6.528,2.880,12.025,F,2020
porto_alegre___rs,"08:7,01_a_10,00",1,36,42,113,386,325,4.234,2.169,11.159,F,2020
porto_alegre___rs,"09:10,01_a_15,00",1,12,35,30,158,188,2.078,1.432,9.637,F,2020
porto_alegre___rs,"10:15,01_a_20,00",0,1,3,2,25,34,578,432,5.394,F,2020
porto_alegre___rs,"11:mais_de_20,00",0,3,2,7,19,25,377,316,7.145,F,2020
campo_grande___ms,"00:ate_0,50",2,5,2,15,31,47,86,10,79,F,2020
campo_grande___ms,"01:0,51_a_1,00",6,46,75,315,422,877,730,101,338,F,2020
campo_grande___ms,"02:1,01_a_1,50",70,756,1.030,2.988,4.852,3.264,11.049,1.184,1.390,F,2020
campo_grande___ms,"03:1,51_a_2,00",11,467,649,1.189,2.061,1.219,6.948,1.032,1.519,F,2020
campo_grande___ms,"04:2,01_a_3,00",1,94,251,361,895,671,5.657,1.151,6.220,F,2020
campo_grande___ms,"05:3,01_a_4,00",0,22,52,79,315,229,2.166,619,4.371,F,2020
campo_grande___ms,"06:4,01_a_5,00",0,4,13,39,203,117,1.431,437,3.898,F,2020
campo_grande___ms,"07:5,01_a_7,00",0,7,6,39,155,84,1.102,298,4.517,F,2020
campo_grande___ms,"08:7,01_a_10,00",0,1,5,17,113,50,738,200,4.398,F,2020
campo_grande___ms,"09:10,01_a_15,00",0,0,0,6,22,17,219,67,2.150,F,2020
campo_grande___ms,"10:15,01_a_20,00",0,0,0,1,3,4,82,14,932,F,2020
campo_grande___ms,"11:mais_de_20,00",0,3,1,0,3,1,41,18,1.101,F,2020
cuiaba___mt,"00:ate_0,50",2,42,5,11,708,61,25,4,12,F,2020
cuiaba___mt,"01:0,51_a_1,00",8,36,60,103,1.732,385,474,19,108,F,2020
cuiaba___mt,"02:1,01_a_1,50",53,1.049,1.000,2.267,4.533,4.114,10.958,776,519,F,2020
cuiaba___mt,"03:1,51_a_2,00",2,207,284,595,1.882,1.098,5.119,627,730,F,2020
cuiaba___mt,"04:2,01_a_3,00",2,442,75,224,3.316,1.839,3.897,950,1.884,F,2020
cuiaba___mt,"05:3,01_a_4,00",1,545,15,39,2.016,1.410,1.161,480,1.935,F,2020
cuiaba___mt,"06:4,01_a_5,00",0,95,7,40,3.287,991,560,291,1.534,F,2020
cuiaba___mt,"07:5,01_a_7,00",0,50,2,35,5.128,880,813,321,2.444,F,2020
cuiaba___mt,"08:7,01_a_10,00",0,47,4,20,773,277,393,170,2.519,F,2020
cuiaba___mt,"09:10,01_a_15,00",0,7,2,3,139,75,279,122,2.043,F,2020
cuiaba___mt,"10:15,01_a_20,00",0,2,0,2,48,9,91,47,910,F,2020
cuiaba___mt,"11:mais_de_20,00",0,0,0,1,95,36,85,31,858,F,2020
goiania___go,"00:ate_0,50",0,5,9,254,17,1.046,48,18,80,F,2020
goiania___go,"01:0,51_a_1,00",18,261,432,1.518,1.075,2.070,2.926,358,435,F,2020
goiania___go,"02:1,01_a_1,50",182,1.699,4.779,5.966,11.922,10.830,24.911,2.673,2.169,F,2020
goiania___go,"03:1,51_a_2,00",20,1.150,3.158,2.059,3.063,4.596,10.942,1.761,2.244,F,2020
goiania___go,"04:2,01_a_3,00",9,682,1.423,2.122,1.798,6.515,7.160,2.202,5.390,F,2020
goiania___go,"05:3,01_a_4,00",0,360,248,1.044,463,4.413,2.634,1.453,7.015,F,2020
goiania___go,"06:4,01_a_5,00",0,240,278,645,330,3.078,2.038,914,7.957,F,2020
goiania___go,"07:5,01_a_7,00",0,333,250,825,259,2.885,1.966,936,10.935,F,2020
goiania___go,"08:7,01_a_10,00",0,89,120,297,122,789,1.067,402,6.111,F,2020
goiania___go,"09:10,01_a_15,00",0,36,19,63,39,176,517,233,3.171,F,2020
goiania___go,"10:15,01_a_20,00",0,9,5,38,33,29,117,70,1.511,F,2020
goiania___go,"11:mais_de_20,00",0,35,5,18,2,45,72,61,1.719,F,2020
brasilia___df,"00:ate_0,50",1,9,6,29,72,94,280,43,200,F,2020
brasilia___df,"01:0,51_a_1,00",21,72,109,468,613,1.483,2.061,134,731,F,2020
brasilia___df,"02:1,01_a_1,50",318,2.079,3.143,6.792,14.592,9.068,35.542,1.972,2.070,F,2020
brasilia___df,"03:1,51_a_2,00",150,574,1.012,1.848,5.351,3.240,23.536,2.439,2.113,F,2020
brasilia___df,"04:2,01_a_3,00",28,379,332,750,2.478,1.762,18.017,3.577,4.447,F,2020
brasilia___df,"05:3,01_a_4,00",6,223,100,434,1.149,600,8.033,2.199,5.099,F,2020
brasilia___df,"06:4,01_a_5,00",4,162,110,621,1.249,250,8.320,1.789,5.906,F,2020
brasilia___df,"07:5,01_a_7,00",8,348,392,932,2.098,590,11.501,2.368,9.173,F,2020
brasilia___df,"08:7,01_a_10,00",1,402,320,631,1.655,610,9.902,3.495,15.986,F,2020
brasilia___df,"09:10,01_a_15,00",0,169,57,125,770,230,6.841,2.934,26.757,F,2020
brasilia___df,"10:15,01_a_20,00",0,78,14,21,162,57,1.636,452,9.406,F,2020
brasilia___df,"11:mais_de_20,00",0,263,39,65,235,88,2.223,418,21.512,F,2020
porto_velho___ro,"00:ate_0,50",1,3,6,17,7,24,25,1,5,M,2020
porto_velho___ro,"01:0,51_a_1,00",15,33,62,204,283,204,454,23,56,M,2020
porto_velho___ro,"02:1,01_a_1,50",94,363,484,1.965,2.664,1.774,6.318,201,113,M,2020
porto_velho___ro,"03:1,51_a_2,00",43,325,724,1.379,1.744,1.096,4.769,169,145,M,2020
porto_velho___ro,"04:2,01_a_3,00",17,238,452,684,1.094,666,4.214,214,654,M,2020
porto_velho___ro,"05:3,01_a_4,00",5,94,169,233,450,189,3.059,173,1.019,M,2020
porto_velho___ro,"06:4,01_a_5,00",0,145,106,255,382,94,2.546,77,646,M,2020
porto_velho___ro,"07:5,01_a_7,00",4,190,87,305,614,102,3.827,127,554,M,2020
porto_velho___ro,"08:7,01_a_10,00",0,81,74,191,268,92,2.111,100,906,M,2020
porto_velho___ro,"09:10,01_a_15,00",0,15,29,27,91,67,1.127,97,843,M,2020
porto_velho___ro,"10:15,01_a_20,00",0,2,4,5,25,13,567,42,790,M,2020
porto_velho___ro,"11:mais_de_20,00",0,6,2,8,33,8,855,26,1.067,M,2020
rio_branco___ac,"00:ate_0,50",0,2,0,9,3,45,12,0,1,M,2020
rio_branco___ac,"01:0,51_a_1,00",38,152,134,139,138,90,175,6,22,M,2020
rio_branco___ac,"02:1,01_a_1,50",251,1.677,886,1.664,1.934,1.243,3.255,115,226,M,2020
rio_branco___ac,"03:1,51_a_2,00",109,866,336,755,1.004,485,2.294,130,207,M,2020
rio_branco___ac,"04:2,01_a_3,00",33,717,223,672,929,372,1.942,311,296,M,2020
rio_branco___ac,"05:3,01_a_4,00",6,287,112,349,500,176,1.166,192,346,M,2020
rio_branco___ac,"06:4,01_a_5,00",1,176,36,322,518,89,1.130,299,497,M,2020
rio_branco___ac,"07:5,01_a_7,00",1,241,41,154,469,70,830,485,673,M,2020
rio_branco___ac,"08:7,01_a_10,00",0,73,16,77,214,22,457,166,584,M,2020
rio_branco___ac,"09:10,01_a_15,00",0,17,6,15,69,16,327,117,585,M,2020
rio_branco___ac,"10:15,01_a_20,00",0,1,0,5,21,4,113,19,403,M,2020
rio_branco___ac,"11:mais_de_20,00",0,0,1,1,13,0,118,17,714,M,2020
manaus___am,"00:ate_0,50",1,4,4,55,20,237,77,4,17,M,2020
manaus___am,"01:0,51_a_1,00",18,91,137,437,578,1.066,1.353,44,255,M,2020
